area,households,population,working_population,literate_population,literacy_rate
Jammu & Kashmir,2119718,12541302,4322713,7067233,56.35
Himachal Pradesh,1483280,6864602,3559422,5039736,73.42
Punjab,5513071,27743338,9897362,18707137,67.43
Chandigarh,241173,1055450,404136,805438,76.31
Uttarakhand,2056975,10086292,3872275,6880953,68.22
Haryana,4857524,25351462,8916508,16598988,65.48
Nct Of Delhi,3435999,16787941,5587049,12737767,75.87
Rajasthan,12711146,68548437,29886255,38275282,55.84
Uttar Pradesh,33448035,199812341,65814715,114397555,57.25
Bihar,18913565,104099452,34724987,52504553,50.44
Sikkim,129006,610577,308138,444952,72.87
Arunachal Pradesh,270577,1383727,587657,766005,55.36
Nagaland,396002,1978502,974122,1342434,67.85
Manipur,557859,2855794,1304610,1908476,66.83
Mizoram,222853,1097206,486705,848175,77.3
Tripura,855556,3673917,1469521,2804783,76.34
Meghalaya,548059,2966889,1185619,1785005,60.16
Assam,6406471,31205576,11969690,19177977,61.46
West Bengal,20380315,91276115,34756355,61538281,67.42
Jharkhand,6254781,32988134,13098274,18328069,55.56
Odisha,9637820,41974218,17541589,26742595,63.71
Chhattisgarh,5650724,25545198,12180225,15379922,60.21
Madhya Pradesh,15093256,72626809,31574133,42851169,59.0
Gujarat,12248428,60439692,24767747,41093358,67.99
Daman & Diu,60956,243247,121271,188406,77.45
Dadra & Nagar Haveli,76458,343709,157161,223230,64.95
Maharashtra,24421519,112374333,49427878,81554290,72.57
Andhra Pradesh,21022588,84580777,39422906,50556760,59.77
Karnataka,13357027,61095297,27872597,40647322,66.53
Goa,343611,1458545,577248,1165487,79.91
Lakshadweep,11574,64473,18753,52553,81.51
Kerala,7853754,33406061,11619063,28135824,84.22
Tamil Nadu,18524982,72147030,32884681,51837507,71.85
Puducherry,302450,1247953,444968,957309,76.71
Andaman & Nicobar Islands,94551,380581,152535,294281,77.32
